番号,開催日,終了日,イベント等名,会場,開催等状況,ホームページURL,問い合わせ先,電話番号,備考
11,2021-05-10,当面の間,司法書士相談,市民の声を聞く課・各区役所,"【市民の声を聞く課】全面休止,【各区役所】,全面休止","http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
12,2021-05-16,2021-09-26,さとらんどアイスクリームづくり講座,さとらんどセンター,7月12日から再開,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
13,2021-05-17,当面の間,行政相談,各区役所,全面休止,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,総務局広報部市民の声を聞く課,011-211-2042,
14,2021-05-21,2021-09-30,さっぽろ生き物さがし2021,―,5月10日から申込み受付,http://www.city.sapporo.jp/kankyo/biodiversity/chosa/03chosa.html,さっぽろ自然調査館,011-892-5306,
15,2021-06-01,2021-07-31,メトロギャラリー第２期,地下鉄駅構内指定個所,中止,https://www.city.sapporo.jp/st/event/metrogallery/r2.html,交通局事業管理部営業課,011-896-2722,
16,2021-06-01,当面の間,不動産相談（不動産の価格など）,市民の声を聞く課,中止,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html,総務局広報部市民の声を聞く課,011-211-2042,
17,2021-06-14,2021-07-15,"就業支援講習会,「簿記初級」",ひとり親家庭支援センター,中止,http://satsuboren.or.jp/hitorioya/,子ども未来局子育て支援部子育て支援課,011-211-2988,
18,2021-06-14,2021-07-26,はじめての俳句,豊平区民センター,中止,https://toyohira.kumin-c.jp/2021/05/1689/,豊平区民センター,011-812-7181,
19,2021-06-23,2021-07-31,男女共同参画WEBパネル展,厚別区ホームページ,開催,,厚別区市民部,地域振興課,011-895-2442
20,2021-07-07,2021-07-28,やみつきZUMBA,西岡福住地区センター,中止,,西岡福住地区センター,011-852-4687,
21,2021-07-13,2021-07-29,ステップ出張相談会,札幌市内のハローワーク,開催,https://www.career-bank.co.jp/job/other/project/toyohira.html,保健福祉局総務部保護自立支援課,011-211-2992,
22,2021-07-13,2021-07-22,札幌市リサイクルプラザ「家具と自転車の販売」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
23,2021-07-15,,札幌市リサイクルプラザ出張講座（西区）,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
24,2021-07-16,2021-07-18,札幌市天文台夜間公開,札幌市天文台,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
25,2021-07-17,,リユースプラザイベント「ともども夏まつり」,リユースプラザ,開催,http://www.reuseplaza.jp/event.html,環境局環境事業部循環型社会推進課,011-211-2928,
26,2021-07-17,,さとらんど田んぼの生き物観察講座,さとらんど体験農園（水田他）,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
27,2021-07-17,,さとらんど収穫加工体験講座,さとらんど体験農園,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
28,2021-07-17,,空き家等対策相談会,北洋大通センター4階セミナーホール,中止,https://www.city.sapporo.jp/toshi/k-shido/akiya/event.html,都市局建築指導部監察担当課,011-211-2808,
29,2021-07-17,,毎月かんたん工作教室,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
30,2021-07-18,,科学館の工作室　,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
31,2021-07-18,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
32,2021-07-18,,令和3年度札幌市市民後見人養成研修　事前説明会,札幌市社会福祉総合センター4階　大研修室,"開催,7/3から延期に,なりました",https://www.city.sapporo.jp/hokenfukushi/fukushijosetsu/siminnkoukennninn.html,保健福祉局総務部総務課,011-211-2932,
33,2021-07-18,2021-07-20,ワークフェスさっぽろ,京王プラザホテル,開催,,経済観光局雇用推進部雇用推進課,011-211-2278,
34,2021-07-19,,ひきこもりに関する集団型支援拠点「よりどころ」（当事者会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
35,2021-07-22,,リユースプラザ夏休み親子教室（ペットボトルキャップと紙粘土でマグネットづくり）,リユースプラザ,開催,http://www.reuseplaza.jp/event.html,環境局環境事業部循環型社会推進課,011-211-2928,
36,2021-07-22,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
37,2021-07-22,2021-07-25,小中学生の夏休み工作会,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
38,2021-07-23,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
39,2021-07-24,,札幌市リサイクルプラザ「7月のエコ教室」（簡単！包丁研ぎ教室）,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
40,2021-07-24,,毎月かんたん工作教室,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
41,2021-07-24,,アイヌ文化体験講座　編み物　サラニプ風小物入れ,札幌市アイヌ文化交流センター,開催,https://www.city.sapporo.jp/shimin/pirka-kotan/jp/kouza/index.html,札幌市アイヌ文化交流センター, 011-596-5961,
42,2021-07-24,,プラネタリウム特別投影　スポーツ＆スター,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
43,2021-07-24,2021-07-30,札幌市リサイクルプラザイベント「エコ広場」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
44,2021-07-24,2021-08-15,夏の特別展「夏の大運脳会～スポーツは科学だ～」,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
45,2021-07-25,,下水道勉強会,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
46,2021-07-25,,ひきこもりに関する集団型支援拠点「よりどころ」（当事者会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
47,2021-07-25,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
48,2021-07-25,,プラネタリウム特別投影　スポーツ＆スター,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
49,2021-07-26,,ひきこもりに関する集団型支援拠点「よりどころ」（家族会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
50,2021-07-26,,さとらんどマルシェ講座,さとらんど交流館,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
51,2021-07-28,,ひきこもりに関する出張無料相談会,厚別区民センター,中止,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
52,2021-07-30,,さとらんど自由研究お助け講座（チョークアート）,さとらんどセンター,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
53,2021-07-31,2021-08-03,小中学生の夏休み工作会,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
54,2021-08-01,,夏祭り,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
55,2021-08-01,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
56,2021-08-01,2021-08-15,札幌市リサイクルプラザ「家具と自転車の抽選販売」（自転車フェア）,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
57,2021-08-01,2021-08-31,リユースプラザ家具フェアの開催（学習机）,リユースプラザ,開催,http://www.reuseplaza.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
58,2021-08-02,,ひきこもりに関する集団型支援拠点「よりどころ」（当事者会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
59,2021-08-03,,札幌市リサイクルプラザ出張講座（手稲区）,札幌市リサイクルプラザ,開催予定,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
60,2021-08-03,2021-08-10,可愛すぎるわ～初めてのパステルアート講座,西岡福住地区センター,開催予定,,西岡福住地区センター,011-852-4687,
61,2021-08-05,,さとらんど自由研究お助け講座（小物づくり）,さとらんどセンター,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
62,2021-08-06,,スマイルふたごちゃん,厚別保健センター,開催,,厚別区保健福祉部健康・子ども課,011-895-2514,
63,2021-08-07,,毎月かんたん工作教室,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
64,2021-08-07,,アイヌ文化体験講座　アイヌ文様刺繡(初級）　ルウンペのタペストリー,札幌市アイヌ文化交流センター,開催,https://www.city.sapporo.jp/shimin/pirka-kotan/jp/kouza/index.html,札幌市アイヌ文化交流センター, 011-596-5961,
65,2021-08-07,,さとらんど田んぼの生き物観察講座,さとらんど体験農園（水田他）,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
66,2021-08-07,2021-08-10,小中学生の夏休み工作会,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
67,2021-08-08,,ひきこもりに関する集団型支援拠点「よりどころ」（当事者会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
68,2021-08-08,,下水道勉強会,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
69,2021-08-08,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
70,2021-08-08,,リユースプラザ市民講座（生ごみ堆肥化講座）,リユースプラザ,開催,http://www.reuseplaza.jp/event.html,環境局環境事業部循環型社会推進課,011-211-2928,
71,2021-08-09,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
72,2021-08-09,,ひきこもりに関する集団型支援拠点「よりどころ」（家族会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
73,2021-08-09,2021-08-11,夏休み自由研究会,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
74,2021-08-10,2021-08-27,ステップ出張相談会,札幌市内のハローワーク,開催,https://www.career-bank.co.jp/job/other/project/toyohira.html,保健福祉局総務部保護自立支援課,011-211-2992,
75,2021-08-11,,ひきこもりに関する出張無料相談会,東区民センター,中止,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
76,2021-08-13,,「よりどころ」オンライン開催（当事者会）,オンライン開催,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
77,2021-08-14,,親子天文教室「手作りの望遠鏡で星空を見よう」,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
78,2021-08-15,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
79,2021-08-15,,親子天文教室「手作りの望遠鏡で星空を見よう」,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
80,2021-08-15,,科学館の工作室　,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
81,2021-08-16,,ひきこもりに関する集団型支援拠点「よりどころ」（当事者会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
82,2021-08-18,,ひきこもりに関する出張無料相談会,白石区民センター,中止,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
83,2021-08-19,,アイヌ民族の歴史と文化,かでる２・７,開催予定,https://www.city.sapporo.jp/shimin/pirka-kotan/jp/kouza/index.html,札幌市アイヌ文化交流センター, 011-596-5961,
84,2021-08-21,,ひきこもりに関する出張無料相談会,札幌市ひきこもり地域支援センター,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
85,2021-08-21,,リユースプラザ土曜日簡単工作教室（ミニトート）,リユースプラザ,開催,http://www.reuseplaza.jp/event.html,環境局環境事業部循環型社会推進課,011-211-2928,
86,2021-08-21,,さとらんど収穫加工体験講座,さとらんど体験農園,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
87,2021-08-21,2021-10-10,幼保小連携なかよしキャンプ事業（夏季）,市内公園等,中止,https://www.city.sapporo.jp/kyoiku/shogaikyoiku/child/nakayoshi/top.html,教育委員会生涯学習部生涯学習推進課,011-211-3872,
88,2021-08-22,,下水道勉強会,下水道科学館,開催,https://sapporo-src.com/kagakukan/,下水道科学館,011-717-0046,
89,2021-08-22,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
90,2021-08-22,,科学館の工作室　,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
91,2021-08-22,,アイヌの子ども遊び体験講座,札幌市アイヌ文化交流センター,開催,https://www.city.sapporo.jp/shimin/ainushisaku/shisaku/sapporo-iwor.html,市民文化局市民生活部アイヌ施策課,011-211-2399,
92,2021-08-23,,ひきこもりに関する集団型支援拠点「よりどころ」（家族会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
93,2021-08-23,,消費生活サポーター養成講座,札幌エルプラザ,開催,https://www.city.sapporo.jp/shohi/01-shohi/03-event_koza/details/supporter-yosei.html,札幌市消費者センター啓発担当,011-728-3131,
94,2021-08-23,2021-09-13,体軸トレーニング,西岡福住地区センター,開催予定,,西岡福住地区センター,011-852-4687,
95,2021-08-24,,リユースプラザ市民講座（ペット用革チョーカー）,リユースプラザ,開催,http://www.reuseplaza.jp/event.html,環境局環境事業部循環型社会推進課,011-211-2928,
96,2021-08-24,,さとらんどパン講座,さとらんどセンター,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
97,2021-08-24,2021-08-29,札幌市リサイクルプラザイベント「エコ広場」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
98,2021-08-25,,消費生活サポーター養成講座,札幌エルプラザ,開催,https://www.city.sapporo.jp/shohi/01-shohi/03-event_koza/details/supporter-yosei.html,札幌市消費者センター啓発担当,011-728-3131,
99,2021-08-26,,アイヌ民族の歴史と文化,かでる２・７,開催予定,https://www.city.sapporo.jp/shimin/pirka-kotan/jp/kouza/index.html,札幌市アイヌ文化交流センター, 011-596-5961,
100,2021-08-27,,自家製堆肥の作り方と秋の家庭菜園講座,カナモトホール,開催,http://www.city.sapporo.jp/seiso/gomi/namagomi/taihi_seminar2.html,環境局環境事業部循環型社会推進課,011-211-2928,
101,2021-08-28,,自家製堆肥の作り方と秋の家庭菜園講座,清田区民センター,開催,http://www.city.sapporo.jp/seiso/gomi/namagomi/taihi_seminar2.html,環境局環境事業部循環型社会推進課,011-211-2928,
102,2021-08-28,,札幌市リサイクルプラザ「8月のエコ教室」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
103,2021-08-28,,子育て支援者講演会「パパだからできる地域づくり」,サンピアザ劇場,開催,,厚別区保健福祉部健康・子ども課,011-895-2514,
104,2021-08-28,2021-08-29,昼間の星を見ようinサッポロさとらんど,さとらんど交流館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
105,2021-08-29,,ひきこもりに関する出張無料相談会,札幌市ひきこもり地域支援センター,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
106,2021-08-29,,ひきこもりに関する集団型支援拠点「よりどころ」（家族会）,かでる２・７,開催,https://www.city.sapporo.jp/eisei/gyomu/seisin/hikikomori/index.html,保健福祉局障がい保健福祉部精神保健福祉センター,011-622-5190,
107,2021-08-29,,日曜実験室,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
108,2021-08-29,,科学館の工作室　,札幌市青少年科学館,開催,https://www.ssc.slp.or.jp/,札幌市青少年科学館,011-892-5001,
109,2021-08-29,,アイヌの子ども遊び体験講座,札幌市アイヌ文化交流センター,開催,https://www.city.sapporo.jp/shimin/ainushisaku/shisaku/sapporo-iwor.html,市民文化局市民生活部アイヌ施策課,011-211-2399,
110,2021-09-05,,リサイクルプラザ「リフォーム教室」（いすカバー）,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
111,2021-09-08,,札幌市リサイクルプラザ出張講座（豊平区）,月寒公民館,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
112,2021-09-08,2021-09-09,シニアワーキングさっぽろ,北ガスアリーナ札幌46（中央体育館）,開催,https://www.city.sapporo.jp/keizai/seniorworking/2021.html,経済観光局雇用推進部雇用推進課,011-211-2278,
113,2021-09-11,,リサイクルプラザ「リフォーム教室」（布ぞうり）,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
114,2021-09-14,,札幌市リサイクルプラザ出張講座（厚別区）,厚別区民センター,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
115,2021-09-21,,札幌市リサイクルプラザ出張講座（南区）,南区民センター,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
116,2021-09-30,,お仕事フェスタ2021 in チカホ ,札幌駅前通地下歩行空間　北3条交差点広場,開催,https://www.sapporo-sc.jp/,経済観光局雇用推進部雇用推進課,011-211-2278,
117,2021-10-28,,ひとり親家庭の親及び寡婦の教養講座「－　プラバンレジンクラフト　アクセサリーチャーム作り　－」,ひとり親家庭支援センター,"開催,6/25から延期になりました",http://satsuboren.or.jp/hitorioya/,子ども未来局子育て支援部子育て支援課,011-211-2988,
118,2021年度,,ホリデー・テーリング2021,市内公共施設等,中止,https://www.city.sapporo.jp/st/event/holiday/2021.html,交通局事業管理部営業課,011-896-2722,
119,2021年度,,東区年輪大学（高齢者教室）,東区民センターほか,延期,,東区市民部地域振興課,011-741-2429,
120,5/1~10/30の第１・３・5土曜日,,さとらんどソーセージづくり体験,さとらんどセンター,7月12日から再開,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
121,5月～10月第２土曜日,,どようびのわんにゃん飼い主さがし,動物管理センター福移支所,中止,https://www.city.sapporo.jp/inuneko/event/event.html#joutokai,動物管理センター,011-736-6134,
122,7/27~8/12の火曜日・水曜日・木曜日,,さとらんど夏休み食育講座,さとらんどセンター,開催,http://www.satoland.com/,サッポロさとらんど,011-787-0223,
123,実施期間中,,特定健診・特定保健指導（実施医療機関）,各実施医療機関,開催,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
124,実施期間中,,後期高齢者健診（実施医療機関）,各実施医療機関,開催,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
125,実施期間中,,特定保健指導（区保健指導）,各区保健センター・区役所保健福祉課,開催,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
126,実施期間中,,特定保健指導（区保健指導）,各区保健センター・区役所保健福祉課,開催,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
127,通年,,札幌市リサイクルプラザ「リユース食器の貸し出し」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
128,通年,,札幌市リサイクルプラザ「リユース食器の貸し出し」,札幌市リサイクルプラザ,開催,http://www.sapporo530.or.jp/,環境局環境事業部循環型社会推進課,011-211-2928,
129,"毎週土曜または日曜,2時間程度,（時間は各区による）",,ひとり親家庭学習支援ボランティア事業,区民センター等,休止中,"http://kosodate.city.sapporo.jp/mokuteki/manabu/hitorioya/1346.html,,http://satsuboren.or.jp/hitorioya/",子ども未来局子育て支援部子育て支援課,011-211-2988,
130,"毎週土曜または日曜,2時間程度,（時間は各区による）",,ひとり親家庭学習支援ボランティア事業,区民センター等,休止中,"http://kosodate.city.sapporo.jp/mokuteki/manabu/hitorioya/1346.html,,http://satsuboren.or.jp/hitorioya/",子ども未来局子育て支援部子育て支援課,011-211-2988,
